Country Name,Country Code,Region,IncomeGroup,Year,Life Expectancy World Bank,Prevelance of Undernourishment,CO2,Health Expenditure %,Education Expenditure %,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
Malta,MLT,Middle East & North Africa,High income,2019,82.85853659,2.5,1659.999967,8.21444321,,3.619999886,,91.86797469,9202.64,5685.89,108042.18
Myanmar,MMR,East Asia & Pacific,Lower middle income,2019,67.134,2.5,36720.00122,4.67856407,2.139869928,0.5,2.5,60.76766634,1730115.29,4993210.91,12699265.84
Montenegro,MNE,Europe & Central Asia,Upper middle income,2019,76.68292683,2.5,2599.999905,8.32983208,,15.11999989,,45.62698827,21365.51,7297.25,180765.74
Mongolia,MNG,East Asia & Pacific,Lower middle income,2019,69.87,4,23069.99969,3.76607823,4.940889835,5.43900013,3,54.52952347,174613.69,161261.57,835408.23
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2019,,,,,,,,,1439.97,1172.51,12255.2
Mozambique,MOZ,Sub-Saharan Africa,Low income,2019,60.854,31.8,7500,7.83351135,6.084420204,3.46600008,2.5,,1032743.51,11750994.35,4386537.55
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2019,64.925,9.2,3950.000048,3.30329728,1.824370027,10.39299965,3,,102403.25,626351.46,512329.29
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2019,74.23585366,7.2,4170.000076,6.19943714,4.719299793,6.329999924,,,29876.03,36780.42,355910.13
Malawi,MWI,Sub-Saharan Africa,Low income,2019,64.263,17.6,1450.000048,7.39341164,3.711319923,5.751999855,2.5,23.95893214,421938.54,4566247.69,2516337.99
Malaysia,MYS,East Asia & Pacific,Upper middle income,2019,76.156,2.6,253270.0043,3.82514191,4.156610012,3.25999999,,,831900.61,1214136.65,5694065.19
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2019,63.708,18.9,4219.99979,8.49700546,8.927026749,19.98800087,,,101189.7,495609.33,382303.1
Niger,NER,Sub-Saharan Africa,Low income,2019,62.42,,2150.000095,5.6686306,3.527528763,0.55400002,3,15.80861376,817740.13,11409427.88,3286003.35
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2019,54.687,12,115279.9988,3.02666044,,8.529999733,3,29.90451468,5186514.39,79850657.61,31050075.61
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2019,74.485,17.5,5239.999771,8.4039259,4.599999905,5.210999966,2.5,,165692,212833.85,1074763.3
Netherlands,NLD,Europe & Central Asia,High income,2019,82.11219512,2.5,146339.9963,10.13031101,,3.380000114,,97.49694295,363153.64,193731.96,4243514.68
Norway,NOR,Europe & Central Asia,High income,2019,82.95853659,2.5,35950.00076,10.52134705,,3.690000057,,65.038926,125234.37,59204.16,1182175.35
Nepal,NPL,South Asia,Lower middle income,2019,70.778,4.8,13449.99981,4.44515085,4.239999771,3.096999884,3,45.51677912,888008.1,2714999.74,5685683.23
Nauru,NRU,East Asia & Pacific,High income,2019,,,59.99999866,9.78171635,5.596538067,,,,579.07,784.58,2498.8
New Zealand,NZL,East Asia & Pacific,High income,2019,81.70731707,2.5,34009.99832,9.74117661,,4.110000134,,81.37003053,155869.7,44909.12,1014994.88
Oman,OMN,Middle East & North Africa,High income,2019,77.861,8.8,76029.99878,4.07190228,5.413209915,1.84800005,,,171001.17,103878.18,583061.47
Pakistan,PAK,South Asia,Lower middle income,2019,67.273,14.1,190570.0073,3.37992716,2.507550001,3.542000055,3,,5979739.34,47062987,41196152.36
Panama,PAN,Latin America & Caribbean,High income,2019,78.506,5.4,13340.00015,7.58405781,3.127360106,4.725999832,,,119368.29,153852.63,688534.19
Peru,PER,Latin America & Caribbean,Upper middle income,2019,76.736,8.1,56750,5.21506882,3.819960117,3.380000114,,50.29633874,849586.16,1563343.37,5094963.04
Philippines,PHL,East Asia & Pacific,Lower middle income,2019,71.231,5.5,145419.9982,4.07676649,3.234369993,2.24000001,,59.45034649,3073241.11,8523125.51,21101747.88
Palau,PLW,East Asia & Pacific,Upper middle income,2019,,,250,15.15048885,6.809999943,,,,1002.36,1030.22,6406.86
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2019,64.501,21.9,7579.999924,2.30036092,,2.448999882,2.5,,416832.17,1888753.85,2017268.19
